,Price,Brand Name,Year,Kms Driven,Fuel Type,Model Variant
0,425000,Honda,2012,74532,Petrol,Honda City 1.5 V MT
1,175000,Maruti Suzuki,2008,50523,Petrol,Maruti Suzuki Swift 
2,165000,Maruti Suzuki,2011,29900,Petrol,Maruti Suzuki Alto K10 
3,265000,Hyundai,2012,37611,Petrol,Hyundai I10 Magna
4,465000,Renault,2019,11500,Petrol,Renault Kwid 1.0 RXT AMT
5,465000,Renault,2019,11500,Petrol,Renault Kwid 1.0 RXT AMT
6,535000,Hyundai,2014,109262,Diesel,Hyundai Fluidic Verna 1.6 CRDi SX
7,525000,Maruti Suzuki,2016,45333,Petrol,Maruti Suzuki Swift LXi 1.2 BS IV
8,553799,Hyundai,2016,33876,Petrol,Hyundai Grand I10 ASTA 1.2 KAPPA VTVT OPT
9,636099,Renault,2019,33384,Petrol,Renault Triber 
10,700599,Maruti Suzuki,2019,18002,Petrol,Maruti Suzuki Baleno ZETA 1.2 K12
11,592699,Maruti Suzuki,2016,78170,Petrol,Maruti Suzuki Baleno DELTA 1.2 K12
12,518699,Ford,2014,118719,Diesel,Ford EcoSport Titanium 1.5 TDCi
13,474199,Hyundai,2015,50999,Petrol,Hyundai Grand I10 
14,282999,Maruti Suzuki,2014,28260,Petrol,Maruti Suzuki Alto 800 Lxi
15,247799,Tata,2015,50460,Petrol,Tata Nano 
16,414899,Datsun,2018,14652,Petrol,Datsun Redi GO 1.0 S AT
17,18,Toyota,2019,75000,Diesel,Toyota Innova Crysta 2.4 GX 8 STR
18,285000,Hyundai,2013,38000,Petrol,Hyundai Eon Era Plus
19,270000,Hyundai,2013,20000,Petrol,Hyundai Eon D Lite Plus
20,270000,Hyundai,2013,20000,Petrol,Hyundai Eon D Lite Plus
21,12,Ssangyong,2017,82000,Diesel,Ssangyong Rexton RX7
22,366999,Nissan,2013,70120,Petrol,Nissan Micra XV
23,79000,Tata,2007,85000,Diesel,Tata Sumo Victa 
24,69000,Maruti Suzuki,2008,47000,Petrol,Maruti Suzuki Alto 
25,299000,Maruti Suzuki,2018,85000,Diesel,Maruti Suzuki Baleno 
26,427499,Maruti Suzuki,2016,24993,Petrol,Maruti Suzuki Alto K10 
27,446599,Maruti Suzuki,2018,34141,Petrol,Maruti Suzuki Alto K10 
28,554499,Hyundai,2017,27053,Petrol,Hyundai Grand I10 Asta 1.2 Kappa VTVT
29,704499,Hyundai,2015,62634,Petrol,Hyundai Verna 
30,521999,Hyundai,2017,33320,Petrol,Hyundai Elite I20 Era 1.2
31,573999,Hyundai,2018,25894,Petrol,Hyundai Santro 1.1 SPORTS AMT
32,620099,Maruti Suzuki,2018,41654,Petrol,Maruti Suzuki Baleno DELTA 1.2 K12
33,467999,Maruti Suzuki,2014,32325,Petrol,Maruti Suzuki Swift Dzire ZXi 1.2 BS IV
34,668499,Maruti Suzuki,2018,25571,Petrol,Maruti Suzuki Swift VXi
35,668499,Maruti Suzuki,2018,25571,Petrol,Maruti Suzuki Swift VXi
36,869099,Maruti Suzuki,2018,37428,Diesel,Maruti Suzuki Vitara Brezza ZDI PLUS DUAL TONE
37,164799,Tata,2015,10806,Petrol,Tata Nano Twist XT
38,756899,Tata,2020,5565,Petrol,Tata ALTROZ XZ 1.2
39,646199,Hyundai,2020,39786,Petrol,Hyundai Grand I10 NIOS 
40,925699,Mahindra,2019,17088,Diesel,Mahindra Thar CRDe 4x4 AC
41,16,MG Motors,2020,163292,Petrol,MG Motors Hector SMART DCT PETROL
42,911099,Tata,2019,50154,Diesel,Tata Nexon XMA Diesel
43,89000,Maruti Suzuki,2012,62000,Petrol,Maruti Suzuki Ritz 
44,89000,Honda,2006,68000,Petrol,Honda City 
45,69000,Hyundai,2000,85000,Petrol,Hyundai Santro 
46,210000,Chevrolet,2010,60000,Petrol,Chevrolet Beat LS Petrol
47,315000,Hyundai,2010,86000,Petrol,Hyundai I20 Magna 1.2
48,320000,Hyundai,2011,89450,Diesel,Hyundai I20 Magna 1.4 CRDi Diesel
49,650000,Mahindra,2017,90000,Diesel,Mahindra TUV300 T8 AMT
50,650000,Mahindra,2017,90000,Diesel,Mahindra TUV300 T8 AMT
51,600000,Mahindra,2018,25000,Diesel,Mahindra XUV 500 
52,14,Land Rover,2014,117682,Diesel,Land Rover Freelander 2 SE
53,16,MG Motors,2020,6760,Petrol,MG Motors Hector SMART DCT PETROL
54,697599,Hyundai,2020,7042,Petrol,Hyundai Grand I10 NIOS 
55,563799,Ford,2014,54930,Diesel,Ford EcoSport Titanium 1.5 TDCi
56,830899,Hyundai,2021,3169,CNG,Hyundai AURA S CNG
57,531299,Hyundai,2015,74911,Petrol,Hyundai Elite I20 Asta 1.2
58,280799,Hyundai,2011,26962,Petrol,Hyundai I10 Sportz 1.2 Kappa2
